"","Player","Offense","Defense","Ovr","OffTO_multiplied","OReb_multiplied","OTS_multiplied","DefTO_multiplied","DReb_multiplied","DTS_multiplied","season1","season2"
"205","Brandon Bass",0.55,-0.12,0.43,0.37,-0.02,0.34,-0.26,-0.28,0.18,2014,2016
"206","Travis Wear",-0.44,0.84,0.4,-0.08,-0.16,-0.06,0.99,-0.35,0.35,2014,2016
"207","Solomon Hill",1.02,-0.62,0.4,0.03,1.24,-0.12,-0.7,0.3,-0.26,2014,2016
"208","Ian Mahinmi",-1.84,2.24,0.4,-1.02,-0.41,-0.5,0.21,1.65,0.48,2014,2016
"209","Darrun Hilliard",0.1,0.29,0.39,-0.25,0.04,0.2,0.03,0.28,0,2014,2016
"210","JR Smith",1.5,-1.13,0.37,0.29,0.25,0.79,0.06,-0.26,-0.81,2014,2016
"211","James Ennis III",0.8,-0.43,0.36,-0.83,0.75,0.58,0.45,-0.57,-0.31,2014,2016
"212","Elliot Williams",0.02,0.32,0.35,-0.12,-0.08,0.18,-0.03,-0.05,0.44,2014,2016
"213","Jarnell Stokes",-0.7,1.03,0.34,-0.51,0.32,-0.67,0.38,-0.12,0.75,2014,2016
"214","Donatas Motiejunas",-1.37,1.7,0.34,-1.06,-0.61,0.37,0.87,0.03,0.7,2014,2016
"215","Will Barton",-0.03,0.36,0.33,0,0.16,-0.33,0.08,-0.88,0.92,2014,2016
"216","Joel Anthony",-0.53,0.86,0.33,0.27,-0.32,-0.36,-0.15,-0.06,1.12,2014,2016
"217","Jordan Adams",0.17,0.14,0.31,-0.19,0.44,-0.1,0.24,-0.11,-0.03,2014,2016
"218","Luis Scola",0.27,0.03,0.31,-0.34,0.25,0.05,-0.41,1.26,-0.85,2014,2016
"219","Maurice Harkless",-0.12,0.43,0.3,-0.91,0.96,-0.23,0.8,-0.16,-0.14,2014,2016
"220","Boban Marjanovic",0.92,-0.62,0.3,0.08,0.45,0.2,-0.18,0.19,-0.71,2014,2016
"221","Josh Huestis",0.19,0.1,0.29,-0.25,0.04,0.33,-0.14,0.07,0.06,2014,2016
"222","Eric Moreland",0.3,-0.02,0.28,-0.08,-0.11,0.53,0.02,-0.13,0.09,2014,2016
"223","Axel Toupane",1.33,-1.08,0.25,-0.01,-0.37,1.82,-0.38,0.17,-0.87,2014,2016
"224","Derrick Rose",0.25,0,0.24,0.86,-0.58,0.1,-0.51,-0.49,0.85,2014,2016
"225","Alexis Ajinca",-1.38,1.62,0.24,-0.64,-0.04,-0.58,0.28,0.17,1.26,2014,2016
"226","Metta World Peace",-0.94,1.17,0.24,0.63,0.28,-1.93,-0.13,0.12,1.15,2014,2016
"227","Kyle Anderson",-0.1,0.33,0.23,-0.18,-0.98,1.32,0.8,-0.21,-0.39,2014,2016
"228","Lamar Patterson",0.93,-0.71,0.22,-0.02,-0.14,0.9,0.11,0.57,-1.48,2014,2016
"229","Devyn Marble",-0.66,0.87,0.21,0.68,-0.38,-1.03,0.55,0.05,0.33,2014,2016
"230","Damjan Rudez",0.19,0.01,0.2,0.31,-0.12,-0.06,-0.29,0.09,0.22,2014,2016
"231","Jimmer Fredette",0.8,-0.59,0.2,0.24,0.52,-0.01,-0.27,-0.44,0.28,2014,2016
"232","Lou Amundson",-1.7,1.9,0.2,-0.3,0.03,-1.46,0.39,0.17,1.21,2014,2016
"233","Otto Porter Jr.",1.6,-1.4,0.19,-0.03,0.45,1.09,0.53,0.22,-2.08,2014,2016
"234","Jerrelle Benimon",0.02,0.16,0.18,-0.06,0.02,0.06,-0.03,0.02,0.16,2014,2016
"235","Andrew Wiggins",1.23,-1.05,0.18,0.23,1.25,-0.26,0.13,-0.77,-0.61,2014,2016
"236","Greg Monroe",1.23,-1.05,0.18,0.26,0.79,0.31,0.21,0.86,-2.28,2014,2016
"237","Toure' Murry",-0.15,0.3,0.16,-0.08,-0.09,0.03,0.06,0.01,0.23,2014,2016
"238","Nikola Pekovic",-0.19,0.33,0.15,-0.25,0.94,-0.75,-0.65,0.64,0.32,2014,2016
"239","Dwyane Wade",1.1,-0.97,0.14,-0.01,-0.31,1.76,-0.08,-0.17,-0.81,2014,2016
"240","Alan Williams",0.54,-0.4,0.13,0.1,0.29,0.01,-0.06,0.13,-0.44,2014,2016
